3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,correct
http://data.linkedevents.org/location/60485b37-6d5b-3ca4-8ae5-99619651c064,Terrasse du Palais de la Méditerranée,palais de la Méditerranée,http://www.wikidata.org/entity/Q3361055,95.00.00,y
http://data.linkedevents.org/location/2e361e60-56e1-3321-82d4-0b42b51559b3,Villefance-sur-Mer,Villefranche-sur-Mer,http://www.wikidata.org/entity/Q207080,95.00.00,y
http://data.linkedevents.org/location/4c9e21b0-15b1-3586-b584-39c4b1f7381b,Arroport Nice Cote D' Azur,aéroport Nice Côte d'Azur,http://www.wikidata.org/entity/Q821557,94.08.00,y
http://data.linkedevents.org/location/transit/Nice/stop/7babce14-b6cc-31c1-b286-1cacd0a2fe7c,Arènes / Musée Matisse,musée Matisse,http://www.wikidata.org/entity/Q1563354,94.08.00,y
http://data.linkedevents.org/location/29e9e77a-3dd1-3cee-ae55-243bb1e40018,Eglise Arménienne Sainte Marie,église arménienne Sainte-Marie de Nice,http://www.wikidata.org/entity/Q16008715,94.08.00,y
http://data.linkedevents.org/location/34cdd9e5-d07d-3131-a606-c855eb1027a6,Nice Ville - Promenade Des Anglais,promenade des Anglais,http://www.wikidata.org/entity/Q1849491,94.08.00,y
http://data.linkedevents.org/location/5678b859-6661-3422-b1b5-ffa7c0826303,Ponte Napoleone III,pont Napoléon III,http://www.wikidata.org/entity/Q3907996,94.08.00,y
http://data.linkedevents.org/location/36087d80-5af4-3649-83ad-23a922bcaa6c,LCL Saint Laurent du Var,Saint-Laurent-du-Var,http://www.wikidata.org/entity/Q217755,94.04.00,y
http://data.linkedevents.org/location/c7f1ee32-df85-3717-8195-e2767351f9b8,Stade de Saint Laurent du Var,Saint-Laurent-du-Var,http://www.wikidata.org/entity/Q217755,94.04.00,y
http://data.linkedevents.org/location/a1892e16-00a7-39f6-a5b0-2f60a70e28f9,Suzuki Saint Laurent du Var,Saint-Laurent-du-Var,http://www.wikidata.org/entity/Q217755,94.02.00,y
http://data.linkedevents.org/location/2f46028d-567c-4b0c-998a-0844562c7c41,Cathédrale Saint-Nicolas de Nice,cathédrale Saint-Nicolas,http://www.wikidata.org/entity/Q2205594,94.00.00,y
http://data.linkedevents.org/location/d31e5d0d-18f9-4ec9-8792-1ba3421cb4c5,Cathédrale Sainte-Réparate,cathédrale Sainte-Réparate de Nice,http://www.wikidata.org/entity/Q1084011,94.00.00,y
http://data.linkedevents.org/location/ca3228c9-16f3-4c4c-b044-a1d3de38a171,Chapelle de la Miséricorde,chapelle de la Miséricorde de Nice,http://www.wikidata.org/entity/Q2957328,94.00.00,y
http://data.linkedevents.org/location/a0b08401-6bbe-330c-8e73-ff5dfe6bcaa0,Eglise Anglica de Nice,église anglicane de Nice,http://www.wikidata.org/entity/Q3585459,94.00.00,y
http://data.linkedevents.org/location/3fd1f8ed-0c77-33a5-9a2b-0a839840f482,Eglise Sainte-Jeanne d'Arc,église Sainte-Jeanne-d'Arc de Nice,http://www.wikidata.org/entity/Q3107385,94.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/bfe57c47-ee0a-3970-9f9e-e53eda1a2d9b,Masséna,place Masséna,http://www.wikidata.org/entity/Q3389982,94.00.00,y
